,id,name,country_code,country,hand,age,url,date_accessed
1449,50889,GEDIKLI Ilayda,UZB,UZBEKISTAN,Right,20,https://fie.org/athletes/50889,2021-05-13 21:25:59
1450,50892,USMONOVA Marjona,UZB,UZBEKISTAN,Left,15,https://fie.org/athletes/50892,2021-05-13 21:26:00
1451,50891,AZIMOVA Kamola,UZB,UZBEKISTAN,Right,19,https://fie.org/athletes/50891,2021-05-13 21:25:59
1452,50895,IVANOVA Anastasiya,UZB,UZBEKISTAN,Right,17,https://fie.org/athletes/50895,2021-05-13 21:26:01
1453,50894,PETROVA Anastasiya,UZB,UZBEKISTAN,Right,18,https://fie.org/athletes/50894,2021-05-13 21:26:00
1454,50898,TADJIROVA Ekaterina,UZB,UZBEKISTAN,Right,17,https://fie.org/athletes/50898,2021-05-13 21:26:01
1455,50916,TOLKACHEVA Ekaterina,UZB,UZBEKISTAN,Right,18,https://fie.org/athletes/50916,2021-05-13 21:26:04
1456,30437,PROVODNIKOVA Kristina,KAZ,KAZAKHSTAN,Right,23,https://fie.org/athletes/30437,2021-05-13 21:49:08
1457,50951,BEKBOLAT Kamila,KAZ,KAZAKHSTAN,Right,18,https://fie.org/athletes/50951,2021-05-13 21:29:49
1458,40724,LUU Thi Thanh Nhan,VIE,VIETNAM,Right,26,https://fie.org/athletes/40724,2021-05-13 21:56:53
1459,42774,PIETRARELLI Alice,ITA,ITALY,Right,21,https://fie.org/athletes/42774,2021-05-13 21:29:51
1460,20250,KHELFAOUI Louiza,ALG,ALGERIA,Right,32,https://fie.org/athletes/20250,2021-05-13 21:40:38
1461,50976,LOW Cher-Mayne,SGP,SINGAPORE,Right,16,https://fie.org/athletes/50976,2021-05-13 21:29:51
1462,3873,WAECHTER Katja,GER,GERMANY,Left,39,https://fie.org/athletes/3873,2021-05-13 21:40:42
1463,14115,MARSH-SENIC Ann,USA,USA,Right,49,https://fie.org/athletes/14115,2021-05-13 21:49:16
1464,48935,PEREZ BLANCO Melisa,CUB,CUBA,Right,18,https://fie.org/athletes/48935,2021-05-13 21:56:57
1465,48953,SCHMIDT Elsa,AUT,AUSTRIA,Right,20,https://fie.org/athletes/48953,2021-05-13 21:56:58
1466,48974,CRISTINO Anna,ITA,ITALY,Left,19,https://fie.org/athletes/48974,2021-05-13 21:57:16
1467,48976,CALLE Antonia,CHI,CHILE,Right,19,https://fie.org/athletes/48976,2021-05-13 21:57:17
1468,48980,CANDEAGO Eleonora,ITA,ITALY,Right,17,https://fie.org/athletes/48980,2021-05-13 21:57:17
1469,48981,GAMBITTA Alice,ITA,ITALY,Right,17,https://fie.org/athletes/48981,2021-05-13 21:57:18
1470,48982,ZACCHEO Flaminia,ITA,ITALY,Left,19,https://fie.org/athletes/48982,2021-05-13 21:57:18
1471,44915,CHO Taylor,USA,USA,Right,18,https://fie.org/athletes/44915,2021-05-13 21:40:53
